OPTION_ID	LANGUAGE_ID	OPTION_NAME	OPTION_DESC	OPTION_COMMENT	UPDATED_ON	UPDATED_BY
3	2	Ne pas imprimer dans les commentaires, même si un commentaire			2015/10/09 10:10:07.000000000	F_EMMPER
4	2	Aucune ligne de séparation avec le point suivant (groupées)			2015/10/09 10:10:07.000000000	F_EMMPER
5	2	Commentaire obligatoire si marqué mauvais			2015/10/09 10:10:08.000000000	F_EMMPER
6	2	Commentaire est obligatoire sur les moyennes ou mauvaises entrées (rouge ou orange)			2015/10/09 10:10:08.000000000	F_EMMPER
7	2	Saut de page avant l'élément			2015/10/09 10:10:08.000000000	F_EMMPER
8	2	Étiquette de l'élément en gras			2015/10/09 10:10:08.000000000	F_EMMPER
9	2	Résultat d'élément en gras			2015/10/09 10:10:08.000000000	F_EMMPER
10	2	Étiquette d'élément en italique			2015/10/09 10:10:08.000000000	F_EMMPER
11	2	Remplacer l'étiquette de l'élément avec un commentaire			2015/10/09 10:10:08.000000000	F_EMMPER
12	2	Masquer la référence de l'article id dans la liste de contrôle			2015/10/09 10:10:08.000000000	F_EMMPER
13	2	Cacher l'élément			2015/10/09 10:10:08.000000000	F_EMMPER
14	2	Numération disposition de la table (nouvelle option)			2015/10/09 10:10:08.000000000	F_EMMPER
15	2	Étiquette d'élément avec un fond gris			2015/10/09 10:10:08.000000000	F_EMMPER
16	2	Saut de page avant cet élément dans les commentaires			2015/10/09 10:10:08.000000000	F_EMMPER
17	2	Saut de ligne avant l'élément (pas de coupure sur le quartier historique)			2015/10/09 10:10:08.000000000	F_EMMPER
18	2	Saut de ligne avant l'élément (avec coupure sur le quartier historique)			2015/10/09 10:10:08.000000000	F_EMMPER
19	2	Elément étiquette souligné			2015/10/09 10:10:08.000000000	F_EMMPER
20	2	Point de transfert (transfert de données de traitement)			2015/10/09 10:10:08.000000000	F_EMMPER
21	2	Étiquette d'élément en majuscules			2015/10/09 10:10:08.000000000	F_EMMPER
22	2	Annonce fond noir au lieu du résultat d'élément			2015/10/09 10:10:08.000000000	F_EMMPER
23	2	Caché sur le PDA, mais imprimé sur le rapport			2015/10/09 10:10:08.000000000	F_EMMPER
24	2	Caché seulement sur le rapport			2015/10/09 10:10:08.000000000	F_EMMPER
25	2	Compléter l'étiquette d'element avec le commentaire			2015/10/09 10:10:08.000000000	F_EMMPER
26	2	Item listed in part 1 of flyleaf			2015/10/09 10:10:08.000000000	F_EMMPER
27	2	Item listed in part 2 of flyleaf			2015/10/09 10:10:08.000000000	F_EMMPER
28	2	Item pour le score de la grille			2015/10/09 10:10:08.000000000	F_EMMPER
29	2	Intervention anonyme, les mentions de nom et d'unité opérationnelle ne sont pas imprimées			2015/10/09 10:10:08.000000000	F_EMMPER
30	2	Ne pas imprimer le titre du commentaire			2015/10/09 10:10:09.000000000	F_EMMPER
31	2	Ne pas imprimer le commentaire			2015/10/09 10:10:09.000000000	F_EMMPER
32	2	Commentaire obligatoire si marqué mauvais			2015/10/09 10:10:09.000000000	F_EMMPER
33	2	Commentaire obligatoire si marqué mauvais ou moyen			2015/10/09 10:10:09.000000000	F_EMMPER
34	2	Numéro de page imprimé en bas à droite au lieu de en haut à gauche			2015/10/09 10:10:09.000000000	F_EMMPER
35	2	Ne pas imprimer la légende			2015/10/09 10:10:09.000000000	F_EMMPER
36	2	Inclure les commentaires de plan d'action sur le rapport HI (pas fait par défaut si option J choisie)			2015/10/09 10:10:09.000000000	F_EMMPER
